State,Fams Below Pov %,Ppl (<150% Of Pov) %,Ppl (Below Poverty) %,Below 9th Ed %,Below HS Ed %,Below Bach Ed %,Median Fam Income (Dollars),Median Household Income (Dollars),Vast Majority Income (Dollars),Language Isolation %,Unemployed %,avg GDP from 2019-2023,avg realGDP from 2019-2023,g_va death rate
Alabama,11.3,25.2,15.6,3.7,11.9,27.8,"80,385","62,027","19,991",1.3,4.8,265479.86,234081.94,24.659999999999997
Alaska,6.8,17.3,10.2,2.1,6.5,31.2,"108,134","89,336","28,007",2.2,5.8,59937.9,51947.14,23.8
Arizona,8.9,20.8,12.8,4.7,10.9,32.6,"92,100","76,872","24,090",3.5,5.2,444568.61999999994,392813.0,17.74
Arkansas,11.5,26.9,16.0,4.3,11.4,25.1,"74,536","58,773","18,935",1.5,5.1,153802.36000000002,134778.08000000002,21.8
California,8.4,19.6,12.0,8.7,15.4,36.5,"110,108","96,334","26,984",8.3,6.4,3401022.0800000005,3080520.7800000003,8.26
Colorado,5.9,15.4,9.4,3.1,7.2,44.7,"114,822","92,470","30,124",2.3,4.5,454614.4,406676.01999999996,16.22
Connecticut,6.8,15.8,10.0,4.0,8.7,41.9,"120,011","93,760","30,021",5.1,5.6,305208.56,274063.86,6.22
Delaware,7.3,17.1,10.7,3.1,8.6,35.3,"102,219","82,855","26,777",2.6,5.1,88077.06000000001,77152.96,12.960000000000003
District of Columbia,10.7,19.9,14.5,2.9,7.2,63.6,"150,381","106,287","40,197",3.0,6.5,157572.84,141261.46000000002,23.32
Florida,8.9,21.3,12.6,4.3,10.4,33.2,"86,127","71,711","23,262",6.9,4.8,1335501.88,1177074.12,13.64
Georgia,9.9,22.1,13.5,4.3,11.0,34.2,"90,337","74,664","22,700",2.8,5.1,722573.3400000001,643450.04,18.419999999999998
Hawaii,6.9,15.6,10.0,3.2,7.1,35.5,"115,643","98,317","27,143",5.4,5.0,97481.42000000001,86043.48000000001,4.4
Idaho,7.0,19.4,10.6,3.2,8.3,31.2,"89,174","74,636","22,724",1.8,3.7,101113.62000000002,88178.02,16.6
Illinois,8.2,18.6,11.7,4.5,9.7,37.2,"103,504","81,702","25,790",4.3,5.8,968432.7,856739.76,13.780000000000001
Indiana,8.4,20.5,12.2,3.6,9.8,28.8,"88,451","70,051","22,411",1.9,4.3,430586.34,382238.92000000004,17.099999999999998
Iowa,6.9,18.5,11.0,2.7,6.8,30.9,"94,472","73,147","24,267",1.9,3.6,223618.13999999998,196447.2,10.639999999999999
Kansas,7.7,19.1,11.5,3.4,8.1,35.2,"93,497","72,639","23,741",2.4,3.9,195733.56,172925.7,16.2
Kentucky,11.8,25.6,16.1,4.4,11.5,27.0,"79,436","62,417","20,089",1.6,4.8,244835.08000000002,216300.84,18.660000000000004
Louisiana,14.2,28.6,18.9,4.5,13.1,26.6,"77,568","60,023","19,027",1.9,6.3,277311.58,240776.97999999998,26.8
Maine,6.5,18.2,10.8,1.8,5.5,35.3,"93,307","71,773","25,121",0.9,3.9,80296.07999999999,70829.9,12.040000000000001
Maryland,6.3,15.0,9.3,4.0,9.0,42.7,"124,487","101,652","30,931",3.5,4.9,455561.5399999999,406414.72,13.440000000000001
Massachusetts,6.6,15.6,10.0,4.2,8.6,46.6,"128,134","101,341","31,718",6.0,5.1,653084.86,589279.8600000001,3.5799999999999996
Michigan,8.8,20.8,13.1,2.6,8.1,31.8,"90,947","71,149","23,316",1.8,5.8,588786.4,529354.58,14.2
Minnesota,5.5,15.3,9.2,2.7,6.1,38.8,"111,492","87,556","28,409",2.2,3.9,424115.45999999996,376242.2,9.1
Mississippi,14.3,30.2,19.1,4.5,13.4,24.2,"70,821","54,915","17,328",0.8,6.0,131443.6,114727.13999999998,29.139999999999997
Missouri,8.4,21.1,12.6,2.7,8.4,31.9,"88,759","68,920","22,647",1.1,4.1,372667.66000000003,330637.28,22.660000000000004
Montana,7.1,20.4,12.0,1.6,5.4,34.5,"88,127","69,922","23,517",0.4,3.8,61973.159999999996,53616.81999999999,22.080000000000002
Nebraska,6.7,17.9,10.3,3.7,7.9,34.1,"96,902","74,985","24,335",2.5,3.0,154087.26,135294.22,10.72
Nevada,9.0,21.2,12.6,5.4,12.6,27.4,"89,735","75,561","23,435",5.2,6.8,209752.56,184039.06,17.880000000000003
New Hampshire,4.4,11.9,7.2,1.9,5.9,39.8,"118,736","95,628","31,256",1.2,3.4,99519.09999999999,88753.14,9.52
New Jersey,7.0,15.6,9.8,4.6,9.3,42.9,"123,892","101,050","30,383",7.0,6.2,706594.6799999999,631832.62,4.779999999999999
New Mexico,13.7,28.5,18.1,5.2,12.3,30.2,"76,143","62,125","20,018",5.2,6.0,117326.66,103623.48000000001,25.08
New York,9.8,21.0,13.7,6.0,12.1,39.6,"105,060","84,578","26,408",7.6,6.2,1951624.3,1739417.78,4.92
North Carolina,9.4,22.0,13.2,4.0,10.3,34.7,"86,947","69,904","22,835",2.3,4.8,675616.22,599051.9800000001,15.919999999999998
North Dakota,6.2,16.9,10.6,2.4,6.2,32.3,"103,383","75,949","25,458",1.5,2.8,66998.81999999999,58501.68000000001,14.440000000000001
Ohio,9.2,21.0,13.2,2.6,8.4,30.9,"90,288","69,680","23,115",1.5,4.8,774894.08,684778.72,15.12
Oklahoma,11.1,25.1,15.3,3.8,10.9,27.8,"80,611","63,603","20,419",2.1,4.9,224164.36000000002,197536.8,20.04
Oregon,7.3,19.5,11.9,3.3,8.3,36.2,"98,832","80,426","26,072",2.3,5.4,277557.88,247925.4,13.819999999999999
Pennsylvania,8.1,18.9,11.8,2.9,8.1,34.5,"97,349","76,081","24,954",2.6,5.2,861742.3,768582.36,13.679999999999998
Rhode Island,7.0,17.1,10.9,4.8,10.5,37.3,"109,979","86,372","27,241",5.1,5.7,68029.45999999999,60517.3,4.64
South Carolina,10.1,22.9,14.2,3.3,10.4,31.5,"83,579","66,818","21,845",1.5,5.0,281802.02,248154.8,20.839999999999996
South Dakota,7.4,19.7,12.0,2.7,7.0,31.1,"93,579","72,421","23,651",1.2,3.0,63849.04,54877.0,13.8
Tennessee,9.9,22.7,13.8,3.8,10.4,30.4,"84,212","67,097","21,847",1.7,4.7,448535.02,396731.16000000003,21.0
Texas,10.5,22.7,13.8,7.3,14.3,33.1,"91,752","76,292","22,715",6.8,5.1,2181339.4,1921537.4799999997,14.520000000000001
Utah,5.7,15.1,8.6,2.7,6.7,36.9,"105,513","91,750","24,703",2.1,3.4,237130.58,208708.84000000003,13.76
Vermont,5.7,17.1,10.3,1.7,5.5,42.6,"102,104","78,024","26,733",0.6,3.7,38353.240000000005,33949.54,11.36
Virginia,6.8,16.2,9.9,3.6,8.7,41.5,"112,146","90,974","28,607",2.7,4.3,626476.66,564121.1799999999,13.620000000000001
Washington,6.4,16.0,9.9,3.4,7.8,38.8,"114,068","94,952","30,247",3.8,5.0,690441.5599999999,623215.96,11.639999999999999
West Virginia,11.9,26.3,16.6,3.5,11.4,23.3,"74,981","57,917","19,220",0.3,5.7,89052.34000000001,77207.31999999999,17.0
Wisconsin,6.6,17.3,10.6,2.4,6.6,32.8,"97,261","75,670","25,727",1.4,3.3,379215.82,336220.64,12.48
Wyoming,7.1,18.0,10.7,1.9,5.9,29.9,"95,206","74,815","24,885",0.9,3.7,44068.659999999996,37951.4,23.240000000000002
